pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
1	a group of people sitting on a bench	a group of people sitting on a bench	0	NEUTRAL
2	a stop sign is on the side of a road	a stop sign is on the side of a road	0	NEUTRAL
3	a city bus driving down a street next to a building	a city bus driving down a street next to a building	0	NEUTRAL
4	a teddy bear sitting on the side of a street	a teddy bear sitting on the side of a street	0	NEUTRAL
5	a red stop sign sitting on the side of a road	a red stop sign sitting on the side of a street	0	NEUTRAL
6	a man is playing frisbee in a park	a man is playing frisbee in a park	0	NEUTRAL
7	a traffic light on a street with a building in the background	a traffic light on a street with a building in the background	0	NEUTRAL
8	a large jetliner sitting on top of an airport tarmac	a large airplane sitting on top of an airport tarmac	0	NEUTRAL
9	a large building with a clock tower on top of it	a large building with a large clock tower	0	NEUTRAL
10	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
11	a train that is sitting on the tracks	a train that is sitting on the tracks	0	NEUTRAL
12	a man cutting a cake with a knife	a man cutting a cake with a knife	0	NEUTRAL
13	a man and a woman standing in the snow	a man and a woman standing in the snow	0	NEUTRAL
14	an airplane is flying in the sky with its landing gear down	an airplane is flying in the sky with its landing gear down	0	NEUTRAL
15	a large jetliner sitting on top of an airport tarmac	a large jetliner sitting on top of an airport tarmac	0	NEUTRAL
16	a man is eating a slice of pizza	a man is eating a slice of pizza	0	NEUTRAL
17	two motorcycles parked on the side of the street	two motorcycles parked on the side of the street	0	NEUTRAL
18	a red motorcycle parked on the side of a road	a red motorcycle parked on the side of a road	0	NEUTRAL
19	a traffic light on a pole on a city street	a traffic light on a pole on a city street	0	NEUTRAL
20	a baseball player pitching a ball on top of a field	a baseball player pitching a ball on top of a field	0	NEUTRAL
21	a motorcycle parked in front of a building	a motorcycle parked in front of a store	0	NEUTRAL
22	a man is taking a picture of a man in a suit	a man is standing in front of a cow	0	NEUTRAL
23	a bunch of fruits and vegetables are on display	a bunch of fruits and vegetables are on display	0	NEUTRAL
24	a fruit stand with a bunch of bananas	a fruit stand with a bunch of bananas	0	NEUTRAL
25	a street with cars and a traffic light	a street with cars and a traffic light	0	NEUTRAL
26	a truck is parked in a parking lot	a truck is parked in a parking lot	0	NEUTRAL
27	a stop sign on the corner of a street	a stop sign on the corner of a street	0	NEUTRAL
28	a baseball player holding a baseball bat in a baseball game	a baseball player is holding a baseball bat	0	NEUTRAL
29	a man riding a skateboard on a ramp	a man riding a skateboard on a ramp	0	NEUTRAL
30	a passenger train that is pulling into a station	a passenger train that is pulling into a station	0	NEUTRAL
31	a man cutting a cake with a knife	a man cutting a cake with a knife	0	NEUTRAL
32	a pair of scissors on a table next to a UNK	a pair of scissors on a table next to a UNK	0	NEUTRAL
33	a stop sign is shown in front of a building	a stop sign with a street sign on it	0	NEUTRAL
34	a woman standing next to a stop sign	a woman standing next to a stop sign	0	NEUTRAL
35	a man standing next to a table with a cake on it	a man standing next to a table with a cake on it	0	NEUTRAL
36	a large passenger jet sitting on top of an airport runway	a large passenger jet sitting on top of an airport runway	0	NEUTRAL
37	a city street with a street sign on it	a street sign on a pole on a city street	0	NEUTRAL
38	a passenger train that is going down the tracks	a passenger train that is going down the tracks	0	NEUTRAL
39	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
40	a cat sitting on a chair in a room	a cat sitting on a chair in a room	0	NEUTRAL
41	a refrigerator with a bunch of magnets on it	a refrigerator with a bunch of magnets on it	0	NEUTRAL
42	a traffic light on a pole on a street	a traffic light on a pole on a street	0	NEUTRAL
43	a woman riding a motorcycle down a street	a man is riding a motorcycle on the street	0	NEUTRAL
44	a clock on the side of a building	a large clock on a building with a building in the background	0	NEUTRAL
45	a book shelf with a pair of scissors on it	a table with a bunch of books on it	0	NEUTRAL
46	a plate of food and a drink on a table	a plate of food and a drink on a table	0	NEUTRAL
47	a stop sign is shown on a street corner	a stop sign is shown in front of a building	0	NEUTRAL
48	a group of people walking down a sidewalk	a group of people walking down a sidewalk	0	NEUTRAL
49	a red stop sign sitting on the side of a road	a red stop sign sitting on the side of a road	0	NEUTRAL
50	an airplane is parked on the tarmac at an airport	a large airplane sitting on top of an airport tarmac	0	NEUTRAL
51	a group of people walking down a street	a group of people walking down a street	0	NEUTRAL
52	a bunch of items that are on a table	a bunch of items that are on a table	0	NEUTRAL
53	a red and white bus parked in a parking lot	a red and white bus parked in a parking lot	0	NEUTRAL
54	a bunch of fruits and vegetables are on display	a bunch of fruit and vegetables are on display	0	NEUTRAL
55	a red and white train on a train track	a red and white train on a train track	0	NEUTRAL
56	a birthday cake with a UNK on top	a birthday cake with a UNK on top	0	NEUTRAL
57	a woman eating a hot dog on a bun	a woman eating a hot dog on a bun	0	NEUTRAL
58	a building with a sign on it	a building with a sign on it	0	NEUTRAL
59	a group of people standing in front of a store	a group of people standing in front of a store	0	NEUTRAL
60	a red double decker bus driving down a street	a red double decker bus driving down a street	0	NEUTRAL
61	a tall clock tower with a clock on the side of it	a clock tower in the middle of a city	0	NEUTRAL
62	a tray of food with a bowl of food	a tray of food with a bowl of soup and a spoon	0	NEUTRAL
63	a close up of a banana on a table	a close up of a banana on a table	0	NEUTRAL
64	a person sitting at a table with a pizza	a person sitting at a table with a pizza	0	NEUTRAL
65	a baseball player swinging a bat at a ball	a baseball player swinging a bat at a ball	0	NEUTRAL
66	a brown horse standing on top of a lush green field	a brown horse standing on top of a lush green field	0	NEUTRAL
67	a truck is parked in a parking lot	a truck is parked in a parking lot	0	NEUTRAL
68	a man riding a bike down a street next to a woman	a man riding a bike down a street next to a woman	0	NEUTRAL
69	an airplane is flying in the sky with its landing gear down	an airplane is flying in the sky with its landing gear down	0	NEUTRAL
70	a person holding a banana in their hand	a person holding a banana in their hand	0	NEUTRAL
71	a man is playing tennis on a tennis court	a man is playing tennis on a tennis court	0	NEUTRAL
72	a bowl of cereal and a banana on a table	a bowl of fruit and a bowl of fruit	0	NEUTRAL
73	a man and a woman standing on a beach holding surfboards	a man and a woman standing on a beach holding surfboards	0	NEUTRAL
74	a red double decker bus driving down a street	a red double decker bus driving down a street	0	NEUTRAL
75	a stop sign is on the side of a road	a stop sign is on the side of a road	0	NEUTRAL
